question_id,category,answer_correct,citation_accurate,unit_fidelity,hallucination,latency_s,token_estimate,steps_count
1,A,0,0,1,0,3.43,800,2
2,A,0,0,1,0,3.14,739,2
3,A,0,0,1,0,3.21,795,2
4,A,0,0,0,1,3.22,766,2
5,B,0,0,0,1,4.68,1000,2
6,B,1,0,1,0,5.92,1245,2
7,A,1,1,1,0,3.55,867,2
8,A,0,0,1,0,3.16,777,2
9,A,0,0,1,0,3.63,852,2
10,B,0,0,1,0,3.22,788,2
11,A,0,0,1,0,3.24,777,2
12,B,0,0,0,1,13.51,2538,2
13,A,0,0,1,0,3.23,862,2
14,A,0,0,1,1,2.89,770,2
15,A,1,1,1,0,3.27,821,2
16,A,0,0,1,0,4.05,6881,5
17,A,0,0,1,0,3.46,841,2
18,A,0,0,1,1,3.3,818,2
19,A,0,0,1,0,3.46,817,2
20,A,1,1,1,0,3.06,844,2
