question_id,category,answer_correct,citation_accurate,unit_fidelity,hallucination,latency_s,token_estimate,steps_count
1,A,0,0,1,0,5.67,829,2
2,A,0,0,1,1,4.07,1316,3
3,A,0,0,0,1,2.93,810,2
4,A,0,0,0,1,3.08,839,2
5,A,0,0,1,0,3.26,931,2
6,A,0,0,1,0,5.49,1313,2
7,A,1,1,1,0,3.33,850,2
8,A,0,0,1,0,4.35,934,2
9,A,0,0,1,0,3.46,839,2
10,A,0,0,1,0,3.55,889,2
11,A,0,0,1,1,4.36,991,2
12,A,0,0,1,0,3.46,841,2
13,A,0,0,1,0,3.82,875,2
14,A,0,0,0,1,4.64,1009,2
15,A,0,0,1,0,3.6,865,2
16,A,1,1,0,0,3.64,827,2
17,A,0,0,1,0,3.68,891,2
18,A,0,0,0,1,3.65,859,2
19,A,0,0,0,1,3.46,836,2
20,A,0,0,0,1,3.27,803,2
21,A,0,0,0,1,3.1,745,2
22,A,1,1,1,0,3.15,795,2
23,A,0,0,1,0,3.41,812,2
24,A,0,0,0,1,3.06,747,2
25,A,0,0,0,1,4.3,1869,4
26,A,0,0,1,0,3.66,837,2
27,A,0,0,0,1,3.53,934,2
28,A,0,0,0,1,3.91,886,2
29,A,0,0,0,1,3.62,956,2
30,A,0,0,1,0,2.86,806,2
31,A,0,0,0,1,2.89,798,2
32,A,0,0,1,0,4.1,979,2
33,A,0,0,1,0,2.86,773,2
34,A,0,0,1,0,3.74,951,2
35,A,1,1,1,0,3.08,871,2
36,A,0,0,1,0,3.33,874,2
37,A,0,0,0,1,3.34,848,2
38,A,0,0,1,0,3.12,803,2
39,A,0,0,1,0,3.44,919,2
40,A,0,0,1,0,2.89,789,2
41,A,0,0,0,1,2.89,854,2
42,A,0,0,0,1,3.27,789,2
43,A,0,0,1,1,4.62,1055,2
44,A,0,0,0,1,4.23,2356,5
45,A,1,1,1,0,3.06,882,2
46,A,0,0,0,1,3.26,871,2
47,A,0,0,1,0,3.06,801,2
48,A,0,0,1,0,3.24,874,2
49,A,0,0,1,0,3.14,822,2
50,A,0,0,1,0,4.66,1072,2
