0,1,2,3,4
Product number,"Shell
size","Max Cable entry
Ø (mm)",Plating,"Backshell
config"
C0000268-10904,9,6.3,ZN,Straight
C0000268-11105,11,7.9,ZN,Straight
C0000268-11106,11,9.5,ZN,Straight
C0000268-11308,13,12.7,ZN,Straight
C0000268-20907,09,"11,1",Z,Straight
C0000268-21111,11,"17,4",Z,Straight
C0000268-21312,13,"26,7",Z,Straight
C0000268-11506,15,"9,5",ZN,Straight
C0000268-01510,15,15.8,ZN,Straight
C0000268-21714,17,"22,2",Z,Straight
C0000268-20904,09,"6,3",ZN,90 deg
C0000268-21105,11,"7,9",ZN,90 deg
C0000268-211111,11,"17,4",Z,90 deg
C0000268-213121,13,"19,0",Z,90 deg
C0000268-21506,15,"9,5",ZN,90 deg
C0000268-21510,15,15.8,ZN,90 deg
C0000268-217141,17,"22,2",Z,90 deg
C0000268-219161,19,"25,4",Z,90 deg
C0000268-22110,21,"15,8",ZN,90 deg
C0000268-22114,21,"22,2",ZN,90 deg
