0,1
Rev,Description
A,First revision
B,Product number has been added
C,C0000974-40903 have been added
D,"Added C0000974-91105, C0000974-91106 and C0000974-91107"
E,"Added C0000974-01506, C0000974-91705, C0000974-91711"
F,Added C0000974-01709 and C0000974-91709
G,New template. Approval process in IFS.
H,Corrected shell size in chapter 5 table for C0000974-91507.
J,"Added C0000974-92509. Corrected suitable shrink boot size in chapter 5 table, from dia. L to dia. M
(see figure in chapter 2.4)"
K,"Added C0000974-41505, C0000974-41709 and C0000974-42511."
L,Added C0000974-01703.
M,Added C0000974-41507
