0,1,2,3,4,5,6,7,8,9,10
"Shell
size","M
max",R1,R2,"S
±0.3","T
+0.1
-
0.05","TT
+0.1
-
0.05","W
max",Z,"Thread
B
Class 2A","Thread
V
Metric"
9,20.9,18.26,15.09,23.8,3.25,5.49,2.50,31.5,0.6250-0.1 P-0.3L-TS,M12 X 1.0-6g 0.100R
11,20.9,20.62,18.26,26.2,3.25,4.93,2.50,31.5,0.7500-0.1 P-0.3L-TS,M15 X 1.0-6g 0.100R
13,20.9,23.01,20.62,28.6,3.25,4.93,2.50,31.5,0.8750-0.1 P-0.3L-TS,M18 X 1.0-6g 0.100R
15,20.9,24.61,23.01,31.0,3.25,4.39,2.50,31.5,1.0000-0.1 P-0.3L-TS,M22 X 1.0-6g 0.100R
17,20.9,26.97,24.61,33.3,3.25,4.93,2.50,31.5,1.1875-0.1 P-0.3L-TS,M25 X 1.0-6g 0.100R
19,20.9,29.36,26.97,36.5,3.25,4.93,2.50,31.5,1.2500-0.1 P-0.3L-TS,M28 X 1.0-6g 0.100R
21,20.1,31.75,29.36,39.7,3.25,4.93,3.20,31.5,1.3750-0.1 P-0.3L-TS,M31 X 1.0-6g 0.100R
23,20.1,34.92,31.75,42.9,3.91,6.15,3.20,31.5,1.5000-0.1 P-0.3L-TS,M34 X 1.0-6g 0.100R
25,20.1,38.10,34.92,46.0,3.91,6.15,3.20,31.5,1.6250-0.1 P-0.3L-TS,M37 X 1.0-6g 0.100R
