0,1,2,3,4,5,6,7
"Shell
size","+ 0.2
øB 0","ø K
max","L
max","ø Q
max","+ 0.2
W 0","Thread D
class 2B","Thread V
metric"
9,18.4,19.0,31.3,21.8,19.3,0.6250-0.1P-0.3L.TS,M12 x 1.6g0.100R
11,21.1,21.9,31.3,24.6,19.3,0.7500-0.1P-0.3L.TS,M15 x 1.6g0.100R
13,25.4,26.1,31.3,29.0,19.3,0.8750-0.1P-0.3L.TS,M18 x 1.6g0.100R
15,28.7,29.3,31.3,32.2,19.3,1.0000-0.1P-0.3L.TS,M22 x 1.6g0.100R
17,32.2,32.8,31.3,35.5,19.3,1.1875-0.1P-0.3L.TS,M25 x 1.6g0.100R
19,34.9,35.5,31.3,38.1,19.3,1.2500-0.1P-0.3L.TS,M28 x 1.6g0.100R
21,38.1,38.7,31.3,41.3,19.3,1.3750-0.1P-0.3L.TS,M31 x 1.6g0.100R
23,41.4,41.7,31.3,44.4,19.3,1.5000-0.1P-0.3L.TS,M34 x 1.6g0.100R
25,44.3,44.9,31.3,47.6,19.3,1.625-0.1P-0.3L.TS,M37 x 1.6g0.100R
