0,1,2,3,4
"Product code
Purchased",Shell size,"Number of contacts
and size","MIL-
designation
D38999/",Remarks
RNT 224 6121/840,21,"4 # 8
Quadrax","Not QPL
approved
26W…(21-84)","Delivered with:
10/RNT 225 08"
RNT 224 6123/210,23,21 # 16,26WH21SN,
RNT 224 6123/350,23,100 # 22D,26WH35SN,
RNT 224 6123/530,23,53 # 20,26WH53SN,
RNT 224 6125/040,25,"8 # 16, 48 # 20",26WJ4SN,
RNT 224 6125/110,25,"9 # 10, 2 # 20",26WJ11SN,
,,,,
RNT 224 6125/200,25,"3 # 8, 4 # 12, 13 #
16, 10 # 20",26WJ20SN,
RNT 224 6125/292,25,29 # 16,26WJ29SB,
RNT 224 6125/293,25,29 # 16,26WJ29SC,
RNT 224 6125/350,25,128 # 22D,26WJ35SN,
RNT 224 6125/420,25,"36 # 22D, 6 # 8
TWINAX",26WJ17SN,
RNT 224 6125/430,25,"23 # 20, 20 # 16",26WJ43SN,
RNT 224 6125/610,25,61 # 20,26WJ61SN,
RNT 224 6125/611,25,61 # 20,26WJ61SA,
RNT 224 6125/612,25,61 # 20,26WJ61SB,
RNT 224 6125/613,25,61 # 20,26WJ61SB,
RNT 224 6309/350,9,6 # 22D,26FA35SN,
RNT 224 6309/351,9,6 # 22D,26FA35SA,
RNT 224 6309/980,9,3 # 20,26FA98SA,
RNT 224 6311/020,11,2 # 16,26FB2SN,
RNT 224 6311/041,11,4 # 20,26FB04SA,
RNT 224 6311/050,11,5 # 20,26FB5SN,
RNT 224 6311/131,11,13 # 22D,26FB35SA,
RNT 224 6311/132,11,13 # 22D,26FB35SB,
RNT 224 6311/350,11,13 # 22D,26FB35SN,
RNT 224 6313/040,13,4 # 16,26FC4SN,
RNT 224 6313/041,13,4 # 16,26FC4SA,Key A
