0,1,2,3
"Product code
Purchased",Shell size,Number of contacts,"MS-designation
MS 27467T-"
RNT 225 7315/050,15,5 # 16,15B-5SN
RNT 225 7315/150,15,"14 # 20
1 # 16",15B-15SN
RNT 225 7315/180,15,18 # 20,15B-18SN
RNT 225 7315/350,15,37 # 22D,15B-35SN
RNT 225 7315/352,15,37 # 22D,15B-35SB
RNT 225 7315/970,15,"8 # 20
4 # 16",15b-97SN
RNT 225 7317/060,17,6 # 12,17B-6SN
RNT 225 7317/061,17,6 # 12,17B-6SA
RNT 225 7317/080,17,8 # 16,17B-8SN
RNT 225 7317/260,17,26 # 20,17B-26SN
RNT 225 7317/264,17,26 # 20,17B-26SD
RNT 225 7317/350,17,55 # 22D,17B-35SN
RNT 225 7317/351,17,55 # 22D,17B-35SA
RNT 225 7317/550,17,55 # 22M,17B-55SN
RNT 225 7319/320,19,32 # 20,19B-32SN
RNT 225 7321/160,21,16 # 16,21B-16SN
RNT 225 7321/350,21,79 # 22D,21B-35SN
RNT 225 7321/351,21,79 # 22D,21B-35SA
RNT 225 7321/410,21,41 # 20,21B-41SN
RNT 225 7321/411,21,41 # 20,21B-41SA
RNT 225 7323/210,23,21 # 16,23B-21SN
RNT 225 7323/211,23,21 # 16,23B-21SA
RNT 225 7323/350,23,100 # 22D,23B-35S
RNT 225 7325/040,25,"48 # 20
8 # 16",25B-4SN
RNT 225 7325/240,25,"12 # 16
12 # 12",25B-24SN
RNT 225 7325/290,25,29 # 16,25B-29S
RNT 225 7325/350,25,128 # 22D,25B-35SN
RNT 225 7609/980,09,3 # 20,9F-98SN
RNT 225 7611/350,11,13 # 22D,11F-35SN
C0000332-13043,13,4 # 16,13F-4SC
C0000560-13350,13,22 # 22D,13F35S
RNT 225 7617/080,17,8 # 16,17F-8SN
