0,1
Rev,Description
J,Product code RNT 225 7325/040 added.
K,Product code RNT 225 7325/290 added.
L,Product code RNT 225 7325/350 added.
M,Product code RNT 225 7323/350 added.
N,"Para 3, series 1 added in text."
S,"Document rewritten in MS Word.
Product code RNT 225 7317/061 added."
T,Product code RNT 225 7311/351 added.
U,"Document adapted to Saab layout.
Product code RNT 225 7321/410 added."
V,Product code RNT 225 7321/411 added.
X,Product code RNT 225 7315/352 added.
Y,"Para 5; removed the text ‘Not for new design’ and it’s references.
Information already recorded in IFS."
Z,Product code RNT 225 7317/264 added.
AA,Product code C0000332-13043 has been added.
AB,"Product codes C0000560-17350 and C0000560-17351 has been
added."
AC,Product code C0000560-13350 has been added.
AD,"Product code C0000560-17260 and C0000560-15050 has been
added."
AE,Added RNT 225 7609/980.
