0,1,2,3,4
Product number,"Shell
size","Keying
*)","Number of contacts
Number # AWG size","MIL-designation
D38999/20T"
RNTM2240002/09350,9 (A),N,6 #22D,A35SN
RNTM2240002/09980,9 (A),N,3 #20,A98SN
RNTM2240002/09981,9 (A),A,3 #20,A98SA
RNTM2240002/09982,9 (A),B,3 #20,A98SB
RNTM2240002/11350,11 (B),N,13 #22D,B35SN
RNTM2240002/13040,13 (C),N,4 #16,C4SN
RNTM2240002/13080,13 (C),N,8 #20,C8SN
RNTM2240002/13350,13 (C),N,22 #22D,C35SN
RNTM2240002/13980,13 (C),N,10 #20,C98SN
RNTM2240002/15050,15 (D),N,5 #16,D5SN
RNTM2240002/15051,15 (D),A,5 #16,D5SA
RNTM2240002/15052,15 (D),B,5 #16,D5SB
RNTM2240002/15190,15 (D),N,19 #20,D19SN
RNTM2240002/15350,15 (D),N,37 #22D,D35SN
RNTM2240002/17060,17 (E),N,6 #12,E6SN
RNTM2240002/17061,17 (E),A,6 #12,E6SA
RNTM2240002/17260,17 (E),N,26 #20,E26SN
RNTM2240002/17350,17 (E),A,55 #22D,E35SA
RNTM2240002/17990,17 (E),N,"21 #20, 2 #16",E99SN
RNTM2240002/19110,19 (F),N,11 #16,F11SN
RNTM2240002/19320,19 (F),N,32 #20,F32SN
RNTM2240002/21160,21 (G),N,16 #16,G16SN
RNTM2240002/21410,21 (G),N,41 #20,G41SN
RNTM2240002/23210,23 (H),N,21 #16,H21SN
RNTM2240002/25190,25 (J),N,19 #12,J19SN
RNTM2240002/25610,25 (J),N,61 #20,J61SN
