0,1,2
,Rev,Description
,A,First revision
,B,Product number RNTM2240002/17060 has been added.
,C,"Product numbers RNTM2240002/11350, RNTM2240002/13040, RNTM2240002/13080,
RNTM2240002/13350, RNTM2240002/13980, RNTM2240002/15050,
RNTM2240002/15051, RNTM2240002/15052, RNTM2240002/15190 and
RNTM2240002/15350 has been added.
Para 1 added information about accessory threads.
Para 5 added column Keying."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",C,"Product numbers RNTM2240002/11350, RNTM2240002/13040, RNTM2240002/13080,
RNTM2240002/13350, RNTM2240002/13980, RNTM2240002/15050,
RNTM2240002/15051, RNTM2240002/15052, RNTM2240002/15190 and
RNTM2240002/15350 has been added.
Para 1 added information about accessory threads.
Para 5 added column Keying."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",D,"Added RNTM2240002/17061, /17260, /19110, /21160, /21410, /23210 and /25610."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",E,Product numbers RNTM2240002/17350 and RNTM2240002/17990 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",G,"Updated header and foot, Para 5: Added RNTM2240002/11020 and
RNTM2240002/23140./ EMWJANN"
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",H,Removed product code RNTM2240002/11020 and RNTM2240002/23140./EMWJANN
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",I,"Wrong document was uploaded in IFS, unknown revision record."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",J,"Product number RNTM2240002/09980, RNTM2240002/09981 & RNTM2240002/09982
has been added. Document owner changed to Joakim Anttonen"
,K,"Updated document classification and para 1. Renamed para 3 and added
RNTM2240002/25190."
,L,Added RNTM2240002/09350.
