0,1,2,3,4,5
Product number,"Shell
size","Number of contacts
Number # AWG size","MIL-designation
D38999/26T","Keying
*)",Remarks
RNTM2240004/09350,9 (A),6 #22D,A35SN,N,
RNTM2240004/09351,9 (A),6 #22D,A35SA,A,
RNTM2240004/09980,9 (A),3 #20,A98SN,N,
RNTM2240004/09981,9 (A),3 #20,A98SA,A,
RNTM2240004/11350,11 (B),13 #22D,B35SN,N,
RNTM2240004/11351,11 (B),13 #22D,B35SA,A,
RNTM2240004/11352,11 (B),13 #22D,B35SB,B,
RNTM2240004/11980,11 (B),6 #20,B98SN,N,
RNTM2240004/13040,13 (C),4 #16,C4SN,N,
RNTM2240004/13080,13 (C),8 #20,C8SN,N,
RNTM2240004/13081,13 (C),8 #20,C8SA,A,
RNTM2240004/13350,13 (C),22 #22D,C35SN,N,
RNTM2240004/13980,13 (C),10 #20,C98SN,N,
RNTM2240004/15050,15 (D),5 #16,D5SN,N,
RNTM2240004/15051,15 (D),5 #16,D5SA,A,
RNTM2240004/15150,15 (D),"1 #16, 14 #20",D15SN,N,
RNTM2240004/15180,15 (D),18 #20,D18SN,N,
RNTM2240004/15190,15 (D),19 #20,D19SN,N,
RNTM2240004/15191,15 (D),19 #20,D19SA,A,
RNTM2240004/15350,15 (D),37 #22D,D35SN,N,
RNTM2240004/15351,15 (D),37 #22D,D35SA,A,
RNTM2240004/15970,15 (D),"4 #16, 8 #20",D97SN,N,
RNTM2240004/17060,17 (E),6 #12,E6SN,N,
RNTM2240004/17061,17 (E),6 #12,E6SA,A,
RNTM2240004/17080,17 (E),8 #16,E8SN,N,
RNTM2240004/17260,17 (E),26 #20,E26SN,N,
RNTM2240004/17350,17 (E),55 #22D,E35SN,N,
RNTM2240004/17990,17 (E),"2 #16, 21 #20",E99SN,N,
RNTM2240004/19320,19 (F),32 #20,F32SN,N,
RNTM2240004/19350,19 (F),66 #22D,F35SN,N,
