0,1,2,3,4,5,6
"Shell
Size",H (min),H (min),R1,R2,T (max),"Front and Rear
panel thickness
(max) 1)"
"Shell
Size","Back panel
mounting","Front panel
mounting",R1,R2,T (max),"Front and Rear
panel thickness
(max) 1)"
9,16.66,13.11,18.26,15.09,3.40,5.80
11,20.22,15.88,20.62,18.26,3.40,5.80
13,23.42,19.05,23.01,20.62,3.40,5.80
15,26.59,23.01,24.61,23.01,3.40,5.80
17,30.96,25.81,26.97,24.61,3.40,5.80
19,32.94,28.98,29.36,26.97,3.40,5.80
21,36.12,32.16,31.75,29.36,3.40,5.00
23,39.29,34.93,34.92,31.75,4.06,5.00
25,42.47,37.69,38.10,34.92,4.06,5.00
