0,1,2,3,4
"Product code
Purchased","Shell
size","Number of
contacts
x size",Keying,"MIL-designation
D38999/24"
RPT 234 4413/351,13,22 #22D,A,KC35PA
RPT 234 4415/050,15,5 # 16,N,KD5PN
RPT 234 4415/190,15,19 # 20,N,KD19PN
RPT 234 4417/080,17,8 # 16,N,KE08PN
RPT 234 4419/110,19,11 # 16,N,KF11PN
RPT 234 4421/390,21,"2 # 16, 37 # 20",N,KG39PN
RPT 234 4421/392,21,"2 # 20, 37 #20",B,KG39PB
"1/RPT 234 4115/180
**)",15,18 # 20,N,WD18AN
"1/RPT 234 4115/350
**)",15,37 # 22,N,WD35AN
"1/RPT 234 4119/320
**)",19,32 # 20,N,WF32AN
"1/RPT 234 4125/200
**)",25,"3 # 8, 10 # 20,
13 # 16, 4 # 12",N,WJ20AN
