0,1,2,3,4,5,6,7
"Shell
size",ØB,"ØK
±0.8","L
max","ØQ
max","W
+0.20
-0.10","Thread
D
Class 2B","Thread
V
Metric"
9,"11.1
11.0",8.0,31.0,21.8,19.3,0.6250-0.1P-0.3L-TS,M12 x 1.6g 0.100R
11,"14.4
14.2",11.0,31.0,25.0,19.3,0.7500-0.1P-0.3L-TS,M15 x 1.6g 0.100R
13,"17.2
17.1",13.9,31.0,29.4,19.3,0.8750-0.1P-0.3L-TS,M18 x 1.6g 0.100R
15,"20.4
20.2",17.1,31.0,32.5,19.3,1.0000-0.1P-0.3L-TS,M22 x 1.6g 0.100R
17,"23.6
23.4",20.2,31.0,35.7,19.3,1.1875-0.1P-0.3L-TS,M25 x 1.6g 0.100R
19,"26.2
26.1",22.5,31.0,38.5,19.3,1.2500-0.1P-0.3L-TS,M28 x 1.6g 0.100R
21,"29.4
29.3",25.7,31.0,41.7,19.3,1.3750-0.1P-0.3L-TS,M31 x 1.6g 0.100R
23,"32.6
32.4",28.2,31.0,44.9,19.3,1.5000-0.1P-0.3L-TS,M34 x 1.6g 0.100R
25,"35.8
35.6",32.0,31.0,48.0,19.3,1.625-0.1P-0.3L-TS,M37 x 1.6g 0.100R
