0,1
AH,Product code RPT 234 6111/131 has been added.
AJ,Product code RPT 234 6311/050 has been added.
AK,Product code RPT 234 6311/351 has been added
AL,Product code RPT2346117/990 has been added
AM,Product code RPT 234 6413/350 and RPT 234 6419/111 have been added.
AN,Product code RPT2346311/352 has been added.
AS,Product code RPT2346113/353 has been added.
AT,Product code RPT2346317/350 has been added.
AU,Product code RPT2346409/350 has been added.
AV,7 Product codes has been added
AX,Product code RPT2346125/431 has been added.
AY,Product code RPT2346325/040 and RPT2346313/350 has been added.
AZ,Product code RPT 234 6311/990 has been added.
BA,Product code RPT 234 6115/352 has been added.
BB,"Product code RPT 234 6319/350, /351 has been added."
BC,Product code RPT 234 6119/351 has been added.
BD,"Product codes RPT 234 6317/060, RPT 234 6317/061 and RPT 234
6317/062 have been added."
BE,Product code RPT 234 6319/280 is added.
BG,Added product code RPT 234 6313/351.
BH,Added product code RPT 234 6119/111 and RPT 234 6119/321.
BK,Added product code RPT 234 6317/065.
BL,Added product code RPT 234 6411/020
BM,Added product code RPT 234 6113/352.
BN,"Added product code RPT 234 6409/351, RPT 234 6413/080 and RPT 234
6417/060."
BS,Added product code RPT2346315/353.
BT,Added product code RPT2346311/050. Document header updated.
BU,Added product code RPT2346315/350.
BV,"Added product code RPT2346315/351. New template, document approved
in IFS."
