0,1,2,3
"Product code
Purchased",Shell size,Number of contacts,"MS-designation
MS 27656"
RPT 235 6325/240,25,"12 # 16, 12 # 12",T-25B-24P
RPT 235 6325/290,25,29 # 16,T-25B-29PN
RPT 235 6325/350,25,128 # 22D,T-25B-35PN
RPT 235 6611/350,11,13 # 22D,T-11F-35P
RPT 235 6619/350,19,66 # 22D,T-19B-35P
RPT 235 6911/350,11,"13 # 22D
for flex","T-11B-35P
With straight spills ø 0.5 mm"
1/RPT 235 6315/180,15,18 # 20,"T-15B-18P, without contacts"
1/RPT 235 6315/350,15,37 # 22D,"T-15B-35AN, without contacts"
1/RPT 235 6317/350,17,55 # 22D,"T-17B-35AN, without contacts"
1/RPT 235 6317/351,17,55 # 22D,"T-17B-35AA, without contacts"
1/RPT 235 6317/550,17,55 # 22D,"T-17B-35AN, without contacts"
1/RPT 235 6317/551,17,55 # 22D,"T-17B-35AA, without contacts"
1/RPT 235 6321/350,21,79 # 22D,"T-21B-35AN, without contacts"
1/RPT 235 6321/351,21,79 # 22D,"T-21B-35AA, without contacts"
