0,1
Rev,Description
J,"Number of pages changed from 6 to 5.
Product code 1/RPT 235 6315/180 added."
K,Product code 1/RPT 235 6317/351 added.
L,"Paragraph 5, product codes RPT 235 6317/350 and 6325/290 added."
M,"Paragraph 4.2, dimensions for P and R have been changed."
N,Product code 1/RPT 235 6317/350 added.
S,Product code RPT 235 6325/350 has been added.
T,Product code RPT 235 6323/350 has been added.
U,Product code RPT 235 6113/980 has been added.
V,"Para 4, references have been added. Para 4.2, diameter value A has been changed for all shell
sizes."
X,"Document rewritten in MS Word.
Product code RPT 235 6317/061 has been added."
Y,Product code RPT 235 6311/351 has been added.
Z,"Document adapted to Saab layout.
Para 5.2 PANEL CUTOUT, table updated wit correct numbers"
AA,"Para 3.1.1 Dimension table, name of column Number of contacts changed to Shell size."
AB,Product codes RPT 235 6321/410 and RPT 235 6321/411 have been added.
AC,"Para 6; corrected information for RPT2356317/550, changed number of contacts to 55 # 22M and
changed MS-designation to T-17B-55P."
