0,1,2,3,4,5,6,7,8,9,10,11,12,13
,"Shell
Size","A
max","AA
max","AA
max","B thread
Class 2A","B thread
Class 2A","L
max","L
max","LL
+0.15/
-0.00","LL
+0.15/
-0.00","M
+0.00/
-0.13","Z
max","V
thread"
,9 (A),31.50,5.94,"AA
max",0.6250-0.1P-0.3L-TS,"B thread
Class 2A",13.06,"L
max",22.99,"LL
+0.15/
-0.00",20.83,3.89,M12x1.0-6g 0.100R
,11 (B),31.50,5.94,"AA
max",0.7500-0.1P-0.3L-TS,"B thread
Class 2A",13.06,"L
max",22.99,"LL
+0.15/
-0.00",20.83,3.89,M15x1.0-6g 0.100R
,13 (C),31.50,5.94,"AA
max",0.8750-0.1P-0.3L-TS,"B thread
Class 2A",13.06,"L
max",22.99,"LL
+0.15/
-0.00",20.83,3.89,M18x1.0-6g 0.100R
,15 (D),31.50,5.94,"AA
max",1.0000-0.1P-0.3L-TS,"B thread
Class 2A",13.06,"L
max",22.99,"LL
+0.15/
-0.00",20.83,3.89,M22x1.0-6g 0.100R
,17 (E),31.50,5.94,"AA
max",1.1875-0.1P-0.3L-TS,"B thread
Class 2A",13.06,"L
max",22.99,"LL
+0.15/
-0.00",20.83,3.89,M25x1.0-6g 0.100R
,19 (F),31.50,5.94,"AA
max",1.2500-0.1P-0.3L-TS,"B thread
Class 2A",13.06,"L
max",22.99,"LL
+0.15/
-0.00",20.83,3.89,M28x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",21 (G),31.50,5.18,"AA
max",1.3750-0.1P-0.3L-TS,"B thread
Class 2A",13.84,"L
max",22.99,"LL
+0.15/
-0.00",20.07,4.65,M31x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",23 (H),31.50,5.18,"AA
max",1.5000-0.1P-0.3L-TS,"B thread
Class 2A",13.84,"L
max",22.99,"LL
+0.15/
-0.00",20.07,4.65,M34x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",25 (J),31.50,5.18,"AA
max",1.6250-0.1P-0.3L-TS,"B thread
Class 2A",13.84,"L
max",22.99,"LL
+0.15/
-0.00",20.07,4.65,M37x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","Shell S R1 R2 T TT
Size max True position True position ±0.20 ±0.20
9 (A) 24.1 18.26 15.09 5.49
11 (B) 26.5 20.62 18.26
13 (C) 28.9 23.01 20.62
15 (D) 31.3 24.61 23.01 3.25
4.93
17 (E) 33.7 26.97 24.61
19 (F) 36.9 29.36 26.97
21 (G) 40.1 31.75 29.36
23 (H) 43.3 34.93 31.75
3.91 6.15
25 (J) 46.4 38.10 34.93",31.50,5.18,"AA
max",1.6250-0.1P-0.3L-TS,"B thread
Class 2A",13.84,"L
max",22.99,"LL
+0.15/
-0.00",20.07,4.65,M37x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","Shell
Size","S
max",5.18,"R1
True position",1.6250-0.1P-0.3L-TS,"R2
True position",13.84,"T
±0.20",22.99,"TT
±0.20",20.07,4.65,M37x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",9 (A),24.1,5.18,18.26,1.6250-0.1P-0.3L-TS,15.09,13.84,3.25,22.99,5.49,20.07,4.65,M37x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",11 (B),26.5,5.18,20.62,1.6250-0.1P-0.3L-TS,18.26,13.84,3.25,22.99,4.93,20.07,4.65,M37x1.0-6g 0.100R
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",13 (C),28.9,5.18,23.01,1.6250-0.1P-0.3L-TS,20.62,13.84,3.25,22.99,4.93,20.07,4.65,M37x1.0-6g 0.100R
,13 (C),28.9,5.18,23.01,1.6250-0.1P-0.3L-TS,20.62,13.84,3.25,22.99,4.93,20.07,4.65,M37x1.0-6g 0.100R
,15 (D),31.3,5.18,24.61,1.6250-0.1P-0.3L-TS,23.01,13.84,3.25,22.99,4.93,20.07,4.65,M37x1.0-6g 0.100R
,17 (E),33.7,5.18,26.97,1.6250-0.1P-0.3L-TS,24.61,13.84,3.25,22.99,4.93,20.07,4.65,M37x1.0-6g 0.100R
,19 (F),36.9,5.18,29.36,1.6250-0.1P-0.3L-TS,26.97,13.84,3.25,22.99,4.93,20.07,4.65,M37x1.0-6g 0.100R
,21 (G),40.1,5.18,31.75,1.6250-0.1P-0.3L-TS,29.36,13.84,3.25,22.99,4.93,20.07,4.65,M37x1.0-6g 0.100R
,23 (H),43.3,5.18,34.93,1.6250-0.1P-0.3L-TS,31.75,13.84,3.91,22.99,6.15,20.07,4.65,M37x1.0-6g 0.100R
,25 (J),46.4,5.18,38.10,1.6250-0.1P-0.3L-TS,34.93,13.84,3.91,22.99,6.15,20.07,4.65,M37x1.0-6g 0.100R
