0,1,2,3,4,5,6
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",,,,,,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","Shell
Size","R1
True position","R2
True position","T
±0.20",H min,
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","Shell
Size","R1
True position","R2
True position","T
±0.20","Back panel
mounting","Front panel
mounting"
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",9 (A),18.26,15.09,3.25,16.66,13.11
,9 (A),18.26,15.09,3.25,16.66,13.11
,11 (B),20.62,18.26,3.25,20.22,15.88
,13 (C),23.01,20.62,3.25,23.42,19.05
,15 (D),24.61,23.01,3.25,26.59,23.01
,17 (E),26.97,24.61,3.25,30.96,25.81
,19 (F),29.36,26.97,3.25,32.94,28.98
,21 (G),31.75,29.36,3.25,36.12,32.16
,23 (H),34.93,31.75,3.91,39.29,34.93
,25 (J),38.10,34.93,3.91,42.47,37.69
