0,1,2,3,4,5
Product number,"Shell
size","Number of contacts
Number # AWG size","MIL-designation
D38999/20T","Keying
*)",Remarks
RPTM2340002/09980,9 (A),3 #20,A98PN,N,
RPTM2340002/09981,9 (A),3 #20,A98PA,A,
RPTM2340002/11350,11 (B),13 #22D,B35PN,N,
RPTM2340002/11980,11 (B),6 #20,B98PN,N,
C0000486-11980,11 (B),6 #20,B98PN,N,
RPTM2340002/13040,13 (C),4 #16,C4PN,N,
RPTM2340002/13080,13 (C),8 #20,C8PN,N,
RPTM2340002/13350,13 (C),22 #22D,C35PN,N,
C0000486-13350,13 (C),22 #22D,C35PN,N,
RPTM2340002/13980,13 (C),10 #20,C98PN,N,
RPTM2340002/15050,15 (D),5 #16,D5PN,N,
RPTM2340002/15051,15 (D),5 #16,D5PA,A,
RPTM2340002/15190,15 (D),19 #20,D19PN,N,
RPTM2340002/15350,15 (D),37 #22D,D35PN,N,
RPTM2340002/15351,15 (D),37 #22D,D35PA,A,
RPTM2340002/15970,15 (D),"4 #16, 8 #20",D97PN,N,
RPTM2340002/17060,17 (E),6 #12,E6PN,N,
RPTM2340002/17260,17 (E),26 #20,E26PN,N,
RPTM2340002/17350,17 (E),55 #22D,E35PN,N,
RPTM2340002/19110,19 (F),11 #16,F11PN,N,
RPTM2340002/19320,19 (F),32 #20,F32PN,N,
RPTM2340002/21410,21 (G),41 #20,G41PN,N,
RPTM2340002/23210,23 (H),21 #16,H21PN,N,
RPTM2340002/25040,25 (J),"8 #16, 48 #20",J04PN,N,
RPTM2340002/25190,25 (J),19 #12,J19PN,N,
RPTM2340002/25200,25 (J),"3 #8 Twinax, 4 #12
Coax, 13 #16, 10 #20",J20PN,N,
RPTM2340002/25610,25 (J),61 #20,J61PN,N,
