0,1,2,3,4,5,6,7,8
,"Shell
Size","A thread
Class 2B","B dia
+0.2/-0","C
±0.4","K
max","S dia
max","V
thread","Z
max"
,9 (A),0.6250-0.1P-0.3L-TS,18.4,4.7,19.0,21.8,M12x1.0-6g 0.100R,31.0
,11 (B),0.7500-0.1P-0.3L-TS,21.1,4.7,21.9,25.0,M15x1.0-6g 0.100R,31.0
,13 (C),0.8750-0.1P-0.3L-TS,25.4,4.7,26.1,29.4,M18x1.0-6g 0.100R,31.0
,15 (D),1.0000-0.1P-0.3L-TS,28.7,4.7,29.3,32.5,M22x1.0-6g 0.100R,31.0
,17 (E),1.1875-0.1P-0.3L-TS,32.2,4.7,32.8,35.7,M25x1.0-6g 0.100R,31.0
,19 (F),1.2500-0.1P-0.3L-TS,34.9,4.7,35.5,38.5,M28x1.0-6g 0.100R,31.0
,21 (G),1.3750-0.1P-0.3L-TS,38.1,4.7,38.7,41.7,M31x1.0-6g 0.100R,31.0
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",21 (G),1.3750-0.1P-0.3L-TS,38.1,4.7,38.7,41.7,M31x1.0-6g 0.100R,31.0
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",23 (H),1.5000-0.1P-0.3L-TS,41.1,4.7,41.7,44.9,M34x1.0-6g 0.100R,31.0
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",25 (J),1.6250-0.1P-0.3L-TS,44.3,4.7,44.9,48.0,M37x1.0-6g 0.100R,31.0
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","3 Internal information
3.1 Information
For further information, see 1/1301-RPTM2340004.
3.2 References",1.6250-0.1P-0.3L-TS,44.3,4.7,44.9,48.0,M37x1.0-6g 0.100R,31.0
