0,1,2
,Rev,Description
,A,First revision
,B,Product number RPTM2340004/19280 has been added.
,C,Product numbers RPTM2340004/13350 and RPTM2340004/13351 has been added.
,D,Product number RPTM2340004/25040 has been added
,E,Product number RPTM2340004/19320 has been added
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",F,Product number C0000676/17350 has been added
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",G,Product code RPTM2340004/17990 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",H,"Para 4; added column ‘Keying’ and text under table.
Added several Part numbers."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",J,Product number RPTM2340004/17351 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",K,Product number RPTM2340004/11020 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",L,Added product number RPTM2340004/23211.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",M,Added product number RPTM2340004/13353.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",N,"Added product code RPTM2340004/09981, RPTM2340004/09982,
RPTM2340004/17060, RPTM2340004/17061."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",S,"Updated document classification and footer. Added info in para 1 and renamed para 3.
Added RPTM2340004/25190."
,S,"Updated document classification and footer. Added info in para 1 and renamed para 3.
Added RPTM2340004/25190."
