0,1,2,3,4,5
Shell size,ø Emax,ø Emax,L2,"UNEF class 2B
Series ","Thread
Series "
Shell size,Series ,Series ,L2,"UNEF class 2B
Series ","Thread
Series "
9 (8),17.5,19.5,31.8,.438-28,M12 x 1.0
11 (10),20.6,23.1,31.8,.562-24,M15 x 1.0
13 (12),23.8,25.8,31.8,.688-24,M18 x 1.0
15 (14),27.0,30.2,38.2,.812-20,M22 x 1.0
17 (16),30.2,33.1,38.2,.938-20,M25 x 1.0
19 (18),33.3,35.8,38.2,1-062-18,M28 x 1.0
21 (20),36.5,39.1,44.4,1-188-18,M31 x 1.0
23 (22),39.7,42.3,44.4,1-312-18,M34 x 1.0
25 (24),42.7,45.0,44.4,1-438-18,M37 x 1.0
