0,1
Rev,Description
AD,Product code RPY 105 3022/041 has been added.
AE,"Para 4; table and paragraph removed, higher number changing accordingly.
Para 7.4; document changed from 15181-RPY10509 to 15181-RPY10530."
AF,Product code RPY 105 3023/103 has been added.
AG,"Para 2.3.2 rewritten to better explain and define the adapter.
Para 2.3.2.1 and 2.3.2.2 have been removed.
Para 7.5; Added Note for shell size.
Para 8; added info about adapter and back shell size in table."
AH,"Para 2.4 Angling of back shell, added."
AJ,Product code RPY1053013/033 has been added
AK,Product code RPY1053008/031 has been added
AL,Product code RPY1053010/061 has been added
AM,Product code RPY1053019/073 has been added
AN,Added product code RPY1053009/013 and RPY1053009/023 in para 8.
