0,1,2,3,4,5,6,7
Shell size,ø B max,ø B max,C,D,E,"A thread
UNEF class
2B
Series Ι","A thread
Series ΙΙΙ"
Shell size,"Series
Ι","Series
ΙΙΙ",C,D,E,"A thread
UNEF class
2B
Series Ι","A thread
Series ΙΙΙ"
9 (8),16.7,16.7,17.3,14.22,-,7/16-28,M12 x 1.0
11 (10),21.5,21.5,19.1,15.75,-,9/16-24,M15 x 1.0
13 (12),24.5,24.5,20.6,17.53,12.1,11/16-24,M18 x 1.0
15 (14),27.9,27.9,22.1,18.29,15.1,13/16-20,M22 x 1.0
17 (16),31.4,31.4,23.6,20.83,18.1,15/16-20,M25 x 1.0
19 (18),34.8,34.8,25.4,22.35,20.1,1 1/16-18,M28 x 1.0
21 (20),37.9,37.9,26.9,23.88,24.1,1 3/16-18,M31 x 1.0
23 (22),40.8,40.8,28.4,25.40,27.1,1 5/16-18,M34 x 1.0
25 (24),43.8,43.8,30.0,26.92,30.1,1 7/16-18,M37 x 1.0
