0,1,2,3
"Product code
Purchased","Design according to
paragraph","Product code
Purchased","Design according to
paragraph"
RPY 105 3008/021,2.3.1 + 2.3.2 size 10,RPY 105 3017/063,2.3.1
RPY 105 3008/031,2.3.1 + 2.3.2 size 12,RPY 105 3017/083,2.3.1 + 2.3.2 size 21
RPY 105 3009/013,2.3.1,,
RPY 105 3009/023,2.3.1,,
RPY 105 3009/033,2.3.1 + 2.3.2 size 13,RPY 105 3018/081,2.3.1 + 2.3.2 size 20
RPY 105 3010/011,2.3.1,RPY 105 3019/043,2.3.1
RPY 105 3010/041,2.3.1 + 2.3.2 size 14,RPY 105 3019/073,2.3.1
RPY 105 3010/061,2.3.1 + 2.3.2 size 16,RPY 105 3019/083,2.3.1 + 2.3.2 size 21
RPY 105 3011/033,2.3.1 + 2.3.2 size 13,RPY 105 3020/041,2.3.1
RPY 105 3011/043,2.3.1 + 2.3.2 size 15,RPY 105 3020/071,2.3.1
RPY 105 3011/073,2.3.1 + 2.3.2 size 19,RPY 105 3020/091,2.3.1 + 2.3.2 size 22
RPY 105 3012/041,2.3.1 + 2.3.2 size 14,RPY 105 3020/111,2.3.1 + 2.3.2 size 24
RPY 105 3012/061,2.3.1 + 2.3.2 size 16,RPY 105 3021/023,2.3.1
RPY 105 3012/081,2.3.1 + 2.3.2 size 20,RPY 105 3021/043,2.3.1
RPY 105 3013/023,2.3.1,RPY 105 3021/053,2.3.1
RPY 105 3013/033,2.3.1,RPY 105 3021/063,2.3.1
RPY 105 3013/043,2.3.1 + 2.3.2 size 15,RPY 105 3021/073,2.3.1
RPY 105 3013/063,2.3.1 + 2.3.2 size 17,RPY 105 3021/083,2.3.1
RPY 105 3013/073,2.3.1 + 2.3.2 size 19,RPY 105 3021/093,2.3.1 + 2.3.2 size 23
RPY 105 3014/031,2.3.1,RPY 105 3022/041,2.3.1
RPY 105 3014/041,2.3.1,RPY 105 3023/063,2.3.1
RPY 105 3014/061,2.3.1 + 2.3.2 size 16,RPY 105 3023/083,2.3.1
RPY 105 3015/023,2.3.1,RPY 105 3023/103,2.3.1
RPY 105 3015/033,2.3.1,RPY 105 3024/081,2.3.1
RPY 105 3015/043,2.3.1,RPY 105 3024/091,2.3.1
RPY 105 3015/063,2.3.1 + 2.3.2 size 17,RPY 105 3025/063,2.3.1
RPY 105 3015/073,2.3.1 + 2.3.2 size 19,RPY 105 3025/073,2.3.1
RPY 105 3015/083,2.3.1 + 2.3.2 size 21,RPY 105 3025/083,2.3.1
RPY 105 3016/021,2.3.1,RPY 105 3025/093,2.3.1
RPY 105 3016/041,2.3.1,RPY 105 3025/103,2.3.1
RPY 105 3016/071,2.3.1 + 2.3.2 size 18,RPY 105 3025/113,2.3.1
