0,1
Rev,Description
B,"Number of pages changed from 23 to 25.
Product code TFR4631010/020, 1015/070, 1060/060, 1020/243, 1022/363 + figures
have been added."
C,"Page 4 to 11 and 17 to 20 values are changed.
Page 18: Product code TFR4631020/243 has been added.
Page 22: Product code TFR4631020/243 and fig 30 have been deleted."
D,"Number of pages changed from 25 to 26.
Product code TFR4631024/144 + figure has been added."
E,"Page 7: Fig 6, dimension 6.8 changed to 7.7, text added.
Page 24: Fig 32, dimension 13.8 changed to 13.3."
F,"Number of pages changed from 26 to 28.
Product code TFR4631024/163, 1024/184 + figures have been added."
G,Figure 33 is changed to a different figure.
H,"Number of pages changed from 28 to 24.
Figure 35 and product code TFR4631024/163 added."
J,"DC-resistance has been added to all product codes.
The numbering of the paragraphs has been corrected."
K,"The document is rewritten in word.
Product code TFR4631060/04B has been added."
L,"Jacket dimension is changed for product TFR 463 1060/04B from 12,2mm to 12,8mm."
M,"Product code TFR4631024/370, dimension 0,25mm² is changed to 0,20mm²."
N,"Para 7.4 Fig 24 changed to Fig 24a and only for TFR 463 1020/243. Fig 24b added for
TFR 463 1024/243."
