0,1,2,3,4,5
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","DC
ø Braid
resist
mm
Ω/k
nom
no","-
ance
Remark
m
m."
TFR 463 2015/050,4,5 x 1.5,8.2 ± 0.8,6.1 8.,"8
1
Black conductors
6 shall be numbered
1, 2 and 3
1
4"
TFR 463 2025/050,4,5 x 2.5,10.2 ± 0.8,7.5 7.,"8
1
Black conductors
6 shall be numbered
1, 2 and 3
1
4"
TFR 463 2004/050,4,5 x 4.0,15.1 ± 0.8,13.1 2.,"8
1
Black conductors
6 shall be numbered
1, 2 and 3
1
4"
TFR 463 2060/050,4,5 x 6.0,17.7 ± 0.8,14.9 2.,"8
1
Black conductors
6 shall be numbered
1, 2 and 3
1
4"
TFR 463 2010/050,4,5 x 10.0,17.6 ± 0.8,15.2 1.9,"8
1
Black conductors
6 shall be numbered
1, 2 and 3
1
4"
TFR 463 2010/020,5b,2 x 10.0,13.8 ± 0.6,11.2 1.9,5 Black/red colour
TFR 463 2016/020,5a,2 x 1.25,6.5 ± 0.3,4.3 12.,"See Para 5 Note: 2
1
2 x AWG 16"
TFR 463 2020/020,5a,2 x 0.6,5.5 ± 0.5,3.5 19.,7 2 x AWG 20
TFR 463 2025/020,5b,2 x 2.5,7.6 ± 0.3,5.6 8.2,1 Black/red colour
TFR 463 2060/020,5b,2 x 6.0,11.2 ± 0.3,8.8 3.3,9 Black/red colour
TFR 463 2015/020,5b,2 x 1.5,5.9 ± 0.2,4.7 13.,7 Black/red colour
