0,1,2,3
Issue,Date,Changed By,Change Description
A,2022-04-05,U034501,First issue.
B,2022-05-30,U062636,Added front view layout on C0001072-002
C,2022-08-16,U062636,"C0001072-006, C0001072-007, and
C0001072-008 added"
D,2022-10-17,U062636,C0001072-009 added
E,2022-10-19,U062636,Fixture list updated
F,2022-11-22,QPATROL,"Added front view of C0001072-006,
C0001072-007 and C0001072-008"
G,2022-12-13,U062636,Added picture of assembly tool
H,2023-02-06,U062636,"C0001072-001 added and new pictures for
soldering step"
I,2023-04-28,U062636,Layout table clarified
I,2023-06-22,U064128,C0001072-010 added
J,2024-01-02,U091982,"Added info for -003 and -004 in chapter 2,
3, 4 and 5."
K,2024-03-21,Emwlinn,Added C0001072-011 and C0001072-012
L,2024-08-21,U083225,Clarified view for C0001072-012
