0,1,2
Part Number,Number and size of Contacts,"Remarks
Solder"
C0001072-001,10 AWG 28 & 2 AWG 22,"Remarks
Solder"
C0001072-002,8 AWG24,"Remarks
Solder"
C0001072-003,16 AWG28,"Remarks
Solder"
C0001072-004,16 AWG28,"Remarks
Solder"
C0001072-005,16 AWG26,"Remarks
Solder"
C0001072-006,10 AWG 28 & 2 AWG 22,"Remarks
Solder"
C0001072-007,10 AWG 28 & 2 AWG 22,"Remarks
Solder"
C0001072-008,10 AWG 28 & 2 AWG 22,"Remarks
Solder"
C0001072-009,8 AWG 22,"Remarks
Solder"
C0001072-010,27 AWG 28,"Remarks
Solder"
C0001072-011,27 AWG 28,"Remarks
Solder"
C0001072-012,8 AWG 24,"Remarks
Solder"
