0,1,2,3,4,5
"Part
Number","Tightening
tool",Thread lock,Thread lock,Potting,Potting fixture
"C0001072-
001",10 mm,MSF680103,Thread lock,MVK85,LTXM1040339/6
"C0001072-
002",10mm,MSF680103,Thread lock,MVK85,LTXM1040339/2
"C0001072-
003",10mm,MSF680103,Thread lock,MVK85,LTXM1040339/3
"C0001072-
004",10mm,MSF680103,Thread lock,MVK85,LTXM1040339/4
"C0001072-
005",14mm,MSF680103,Thread lock,MVK85,LTXM1040339/5
"C0001072-
006",10mm,MSF680103,Thread lock,MVK85,LTXM1040339/6
"C0001072-
007",10mm,MSF680103,Thread lock,MVK85,LTXM1040339/6
"C0001072-
008",10mm,MSF680103,Thread lock,MVK85,LTXM1040339/6
"C0001072-
009",14 mm,MSF680103,Thread lock,MVK85,LTXM1040339/5
"C0001072-
010",12 mm,MSF680103,Thread lock,MVK85,TBD
"C0001072-
011",12 mm,MSF680103,Thread lock,MVK85,TBD
"C0001072-
012",10 mm,MSF680103,Thread lock,MVK85,TBD
Text in read means that fixture does not exist. Only a tool number has been registered.,10 mm,MSF680103,Thread lock,MVK85,TBD
,10 mm,MSF680103,,MVK85,TBD
