0,1
Rev,Description
A,First revision
B,"Product codes RNT22222/030, RNT22222/031,
RNT22222/032 and RNT22222/033 have been added.
Layout 22-21 have been added."
C,"Para 4.6; updated torque values after verification of values
at production."
D,Para 4.6; torque value for 10SL has been added.
E,"Page 2; added RNT22216/020.
Para 4.2; added layout 16-11"
F,Page 2; added RNT222122/040.
G,"Para 4.8; added info about 10SL-X.
Added para 4.8.1."
H,"Product code RNT222120/170 have been added.
Layout 20-29 have been added."
J,Product code RNT222124/021 has been added.
K,Added missing tourqe values
L,Added alternative crimping tool
M,Table of tools clarified
N,Part C0006378-24090 has been added.
O,Added C0007114-002
P,Added C0007114-001 and -003
