0,1,2,3,4,5,6,7,8
Part Number,Shell size,"Acc. to
paragraph",No of AWG contacts,No of AWG contacts,No of AWG contacts,No of AWG contacts,No of AWG contacts,Remarks
Part Number,Shell size,"Acc. to
paragraph",16/16S,12,8,4,0,Remarks
1/RNT22202,-,-,,,,,1,"Contact with reduced terminal.
contact size AWG 0, wire size
AWG 2"
1/RNT22204,-,-,,,,1,,Contact size AWG 4
RNT22210/030,10SL-3,3.1,3,,,,,
RNT222110/030,10SL-3,3.2,3,,,,,
RNT222120/030,20-19,3.2,,,3,,,
RNT222120/170,20-29,3.2,17,,,,,
RNT222122/040,22-22,3.2,,,4,,,
RNT222124/020,24-9,3.2,,,,2,,
RNT222124/021,24-9,3.2,,,,,,
RNT222132/050,32-5,3.2,,,,,2,
RNT222132/051,32-5,3.3,,,,,2,
RNT22216/050,16S-8,3.1,5,,,,,
RNT22216/020,16-11,3.1,,2,,,,
RNT22220/030,20-19,3.1,,,3,,,
RNT22220/060,20-8,3.1,4,,2,,,
RNT22222/030,22-21,3.1,2,,,,1,
RNT22222/031,22-21,3.1,2,,,,1,
RNT22222/032,22-21,3.1,2,,,,1,
RNT22222/033,22-21,3.1,2,,,,1,
RNT22222/040,22-22,3.1,,,4,,,
RNT22222/060,22-22,3.1,,,4,,,
RNT22224/020,24-9,3.1,,,,2,,
RNT22224/070,24-10,3.1,,,7,,,
RNT22228/370,28-21,3.1,37,,,,,
RNT22232/020,32-5,3.1,,,,,2,Solder
RNT22232/040,32-17,3.1,,,,4,,Solder
RNT22232/050,32-5,3.1,,,,,2,
RNT22232/051,32-5,3.1,,,,,2,
RNT22232/052,32-5,3.1,,,,,2,Without contacts
RNT22232/300,32-8,3.1,24,6,,,,Solder
RNT22236/350,36-15,3.1,35,,,,,
"C0006378-
24090",24-9,3.2,,,,2,,
C0007114-001,-,-,1,,,,,Contact pin
C0007114-002,,,,,1,,,Contact pin
C0007114-003,,,,1,,,,Contact pin
