0,1,2,3,4,5,6
"Pin/Male
(P)
Socket
/Female
(S)",Contact size,"Crimp tool
number","Locator or turret
number",Die set,Installing tool,Removal tool
P,#23 HD,M22520/2-01,"M22520/2-13
(K338)",,DAK225-22,DRK225-22
P,"#22, #22D, #22M",M22520/2-01,M22520/2-09,,M81969/8-01,M81969/8-02
P,#20,M22520/1-01,"M22520/1-04
or TH 187",,M81969/8-05,M81969/8-06
P,#16,M22520/1-01,"M22520/1-04
or TH 187",,M81969/8-07,M81969/8-08
P,#12,M22520/1-01,M22520/1-04,,M81969/8-09,M81969/8-10
P,#8,M22520/23-01,TBD,M22520/23-02,,
S,#23 HD,M22520/2-01,"M22520/2-16
(K339)",,DAK225-22,DRK225-22
S,"#22, #22D, #22M",M22520/2-01,M22520/2-07,,M81969/8-01,M81969/8-02
S,#20,M22520/1-01,M22520/1-04,,M81969/8-05,M81969/8-06
S,#16,M22520/1-01,M22520/1-04,,M81969/8-07,M81969/8-08
S,#12,M22520/1-01,M22520/1-04,,M81969/8-09,M81969/8-10
