id,family_id,product_code,variant_suffix,configuration_type,configuration_name,specifications,bounding_box,page_number,notes,created_at
13,5,1103-03-04,-04,STANDARD,,"{""Artikelnr"": ""1103-03-04"", ""ID mm"": ""6,5"", ""ID tum"": ""1/4\"""", ""YD mm"": ""11,8"", ""Arb.tr. MPa"": ""29,0"", ""Böjradie mm"": ""40"", ""Vikt kg/m"": ""0,18""}","[173.48470800063188, 272.48802659776476, 537.47998046875, 285.6080284966363]",5,,2025-10-30 12:57:34
14,5,1103-03-05,-05,STANDARD,,"{""Artikelnr"": ""1103-03-05"", ""ID mm"": ""8,0"", ""ID tum"": ""5/16\"""", ""YD mm"": ""13,6"", ""Arb.tr. MPa"": ""25,0"", ""Böjradie mm"": ""55"", ""Vikt kg/m"": ""0,22""}","[173.48470800063188, 285.6080284966363, 537.47998046875, 298.7280303955078]",5,,2025-10-30 12:57:34
15,5,1103-03-06,-06,STANDARD,,"{""Artikelnr"": ""1103-03-06"", ""ID mm"": ""9,5"", ""ID tum"": ""3/8\"""", ""YD mm"": ""16,5"", ""Arb.tr. MPa"": ""23,0"", ""Böjradie mm"": ""65"", ""Vikt kg/m"": ""0,29""}","[173.48470800063188, 298.7280303955078, 537.47998046875, 311.8480322943793]",5,,2025-10-30 12:57:34
16,5,1103-03-08,-08,STANDARD,,"{""Artikelnr"": ""1103-03-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""19,0"", ""Arb.tr. MPa"": ""20,0"", ""Böjradie mm"": ""80"", ""Vikt kg/m"": ""0,35""}","[173.48470800063188, 311.8480322943793, 537.47998046875, 324.9680341932509]",5,,2025-10-30 12:57:34
17,5,1103-03-10,-10,STANDARD,,"{""Artikelnr"": ""1103-03-10"", ""ID mm"": ""16,0"", ""ID tum"": ""5/8\"""", ""YD mm"": ""22,3"", ""Arb.tr. MPa"": ""15,0"", ""Böjradie mm"": ""105"", ""Vikt kg/m"": ""0,43""}","[173.48470800063188, 324.9680341932509, 537.47998046875, 338.08803609212237]",5,,2025-10-30 12:57:34
18,5,1103-03-12,-12,STANDARD,,"{""Artikelnr"": ""1103-03-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""26,2"", ""Arb.tr. MPa"": ""12,5"", ""Böjradie mm"": ""120"", ""Vikt kg/m"": ""0,57""}","[173.48470800063188, 338.08803609212237, 537.47998046875, 351.20803799099394]",5,,2025-10-30 12:57:34
19,5,1103-03-16,-16,STANDARD,,"{""Artikelnr"": ""1103-03-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""34,0"", ""Arb.tr. MPa"": ""11,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,82""}","[173.48470800063188, 351.20803799099394, 537.47998046875, 364.32803988986547]",5,,2025-10-30 12:57:34
20,5,1103-03-20,-20,STANDARD,,"{""Artikelnr"": ""1103-03-20"", ""ID mm"": ""32,0"", ""ID tum"": ""1 1/4\"""", ""YD mm"": ""44,0"", ""Arb.tr. MPa"": ""10,0"", ""Böjradie mm"": ""300"", ""Vikt kg/m"": ""1,28""}","[173.48470800063188, 364.32803988986547, 537.47998046875, 377.448041788737]",5,,2025-10-30 12:57:34
32,7,1105-10-04-30,-04-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1105-10-04-30"", ""Dimension"": ""1/4\"""", ""Min.längd"": ""170"", ""Max längd"": ""230""}","[173.56363955411044, 453.48840325249563, 525.4823771561727, 465.70440395779076]",6,,2025-10-30 12:58:01
33,7,1105-10-05-30,-05-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1105-10-05-30"", ""Dimension"": ""5/16\"""", ""Min.längd"": ""130"", ""Max längd"": ""190""}","[173.56363955411044, 465.70440395779076, 525.4823771561727, 477.9204046630859]",6,,2025-10-30 12:58:01
